ProductTitle;ProductId;SkuId;TermDuration;BillingPlan;Segment;Currency;UnitPrice;ERP Price;CD ID;Unique CD ID
Microsoft Defender and Purview Suites for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;9;P1Y;Annual;Charity;GBP;49,68;55,2;CFQ7TTC10RSN-9-P1Y-Annual-Charity;CFQ7TTC10RSN-9-P1Y-Annual-Charity
Microsoft Purview Suite for Microsoft 365 Business Premium;CFQ7TTC10RSN;2;P1Y;Monthly;Commercial;GBP;77,64;97,08;CFQ7TTC10RSN-2-P1Y-Monthly-Commercial;CFQ7TTC10RSN-2-P1Y-Monthly-Commercial
Microsoft Defender and Purview Suites for Microsoft 365 Business Premium;CFQ7TTC10RSN;3;P1Y;Monthly;Commercial;GBP;115,92;144,96;CFQ7TTC10RSN-3-P1Y-Monthly-Commercial;CFQ7TTC10RSN-3-P1Y-Monthly-Commercial
Microsoft Defender Suite for Microsoft 365 Business Premium;CFQ7TTC10RSN;1;P1M;Monthly;Commercial;GBP;7,39;9,24;CFQ7TTC10RSN-1-P1M-Monthly-Commercial;CFQ7TTC10RSN-1-P1M-Monthly-Commercial
Microsoft Defender Suite for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;8;P1Y;Monthly;Charity;GBP;35,16;39,12;CFQ7TTC10RSN-8-P1Y-Monthly-Charity;CFQ7TTC10RSN-8-P1Y-Monthly-Charity
Built-in security Exchange on-premises mailboxes add-on;CFQ7TTC0LGZM;1;P1Y;Annual;Commercial;GBP;7,39;9,24;CFQ7TTC0LGZM-1-P1Y-Annual-Commercial;CFQ7TTC0LGZM-1-P1Y-Annual-Commercial
Built-in security Exchange on-premises mailboxes add-on;CFQ7TTC0LGZM;1;P1M;Monthly;Commercial;GBP;0,74;0,92;CFQ7TTC0LGZM-1-P1M-Monthly-Commercial;CFQ7TTC0LGZM-1-P1M-Monthly-Commercial
Built-in security Exchange on-premises mailboxes add-on;CFQ7TTC0LGZM;1;P1Y;Monthly;Commercial;GBP;7,8;9,72;CFQ7TTC0LGZM-1-P1Y-Monthly-Commercial;CFQ7TTC0LGZM-1-P1Y-Monthly-Commercial
Business Apps (free);CFQ7TTC0LHZ0;1;P1M;Monthly;Commercial;GBP;0;0;CFQ7TTC0LHZ0-1-P1M-Monthly-Commercial;CFQ7TTC0LHZ0-1-P1M-Monthly-Commercial
Business Apps (free);CFQ7TTC0LHZ0;1;P1Y;Monthly;Commercial;GBP;0;0;CFQ7TTC0LHZ0-1-P1Y-Monthly-Commercial;CFQ7TTC0LHZ0-1-P1Y-Monthly-Commercial
Business Apps (free);CFQ7TTC0LHZ0;1;P1Y;Annual;Commercial;GBP;0;0;CFQ7TTC0LHZ0-1-P1Y-Annual-Commercial;CFQ7TTC0LHZ0-1-P1Y-Annual-Commercial
Cross-Tenant Shared Data Migration;CFQ7TTC131Z8;2;P1Y;Monthly;Commercial;GBP;31,2;39,12;CFQ7TTC131Z8-2-P1Y-Monthly-Commercial;CFQ7TTC131Z8-2-P1Y-Monthly-Commercial
Cross-Tenant Shared Data Migration;CFQ7TTC131Z8;2;P1Y;Annual;Commercial;GBP;29,76;37,2;CFQ7TTC131Z8-2-P1Y-Annual-Commercial;CFQ7TTC131Z8-2-P1Y-Annual-Commercial
Cross-tenant user data migration;CFQ7TTC0R2N9;5;P1Y;Annual;Commercial;GBP;9,22;11,52;CFQ7TTC0R2N9-5-P1Y-Annual-Commercial;CFQ7TTC0R2N9-5-P1Y-Annual-Commercial
Dataverse Database Capacity add-on (Education Pricing);CFQ7TTC0LHRL;000H;P1M;Monthly;Education;GBP;19,35;25,8;CFQ7TTC0LHRL-000H-P1M-Monthly-Education;CFQ7TTC0LHRL-000H-P1M-Monthly-Education
Dataverse Database Capacity add-on;CFQ7TTC0LHRL;2;P1M;Monthly;Commercial;GBP;27,72;36,96;CFQ7TTC0LHRL-2-P1M-Monthly-Commercial;CFQ7TTC0LHRL-2-P1M-Monthly-Commercial
Dataverse Database Capacity add-on;CFQ7TTC0LHRL;2;P1Y;Monthly;Commercial;GBP;291,12;388,08;CFQ7TTC0LHRL-2-P1Y-Monthly-Commercial;CFQ7TTC0LHRL-2-P1Y-Monthly-Commercial
Dataverse Database Capacity add-on (Non-Profit Pricing);CFQ7TTC0LHRL;000J;P1Y;Annual;Charity;GBP;232,2;258;CFQ7TTC0LHRL-000J-P1Y-Annual-Charity;CFQ7TTC0LHRL-000J-P1Y-Annual-Charity
Dataverse Database Capacity add-on (Education Pricing);CFQ7TTC0LHRL;000H;P1Y;Annual;Education;GBP;193,5;258;CFQ7TTC0LHRL-000H-P1Y-Annual-Education;CFQ7TTC0LHRL-000H-P1Y-Annual-Education
Dataverse Database Capacity add-on (Non-Profit Pricing);CFQ7TTC0LHRL;000J;P1M;Monthly;Charity;GBP;23,22;25,8;CFQ7TTC0LHRL-000J-P1M-Monthly-Charity;CFQ7TTC0LHRL-000J-P1M-Monthly-Charity
Dataverse Database Capacity add-on (Non-Profit Pricing);CFQ7TTC0LHRL;000J;P1Y;Monthly;Charity;GBP;243,84;270,96;CFQ7TTC0LHRL-000J-P1Y-Monthly-Charity;CFQ7TTC0LHRL-000J-P1Y-Monthly-Charity
Dataverse Database Capacity add-on (Education Pricing);CFQ7TTC0LHRL;000H;P1Y;Monthly;Education;GBP;203,16;270,84;CFQ7TTC0LHRL-000H-P1Y-Monthly-Education;CFQ7TTC0LHRL-000H-P1Y-Monthly-Education
Dataverse Database Capacity add-on;CFQ7TTC0LHRL;2;P1Y;Annual;Commercial;GBP;277,2;369,6;CFQ7TTC0LHRL-2-P1Y-Annual-Commercial;CFQ7TTC0LHRL-2-P1Y-Annual-Commercial
Dataverse Database Capacity add-on Tier 2 (Min 1000GB);CFQ7TTC0NCD7;3;P1Y;Monthly;Commercial;GBP;218,28;291;CFQ7TTC0NCD7-3-P1Y-Monthly-Commercial;CFQ7TTC0NCD7-3-P1Y-Monthly-Commercial
Dataverse Database Capacity add-on Tier 2 (Min 1000GB);CFQ7TTC0NCD7;3;P1M;Monthly;Commercial;GBP;20,79;27,72;CFQ7TTC0NCD7-3-P1M-Monthly-Commercial;CFQ7TTC0NCD7-3-P1M-Monthly-Commercial
Dataverse Database Capacity add-on Tier 2 (Min 1000GB);CFQ7TTC0NCD7;2;P1M;None;Commercial;GBP;0;0;CFQ7TTC0NCD7-2-P1M-None-Commercial;CFQ7TTC0NCD7-2-P1M-None-Commercial
Dataverse Database Capacity add-on Tier 2 (Min 1000GB);CFQ7TTC0NCD7;3;P1Y;Annual;Commercial;GBP;207,9;277,2;CFQ7TTC0NCD7-3-P1Y-Annual-Commercial;CFQ7TTC0NCD7-3-P1Y-Annual-Commercial
Dataverse File Capacity add-on (Education Pricing);CFQ7TTC0LHQ3;000H;P1Y;Annual;Education;GBP;9,72;12,96;CFQ7TTC0LHQ3-000H-P1Y-Annual-Education;CFQ7TTC0LHQ3-000H-P1Y-Annual-Education
Dataverse File Capacity add-on;CFQ7TTC0LHQ3;1;P1Y;Monthly;Commercial;GBP;14,52;19,44;CFQ7TTC0LHQ3-1-P1Y-Monthly-Commercial;CFQ7TTC0LHQ3-1-P1Y-Monthly-Commercial
Dataverse File Capacity add-on (Education Pricing);CFQ7TTC0LHQ3;000H;P1Y;Monthly;Education;GBP;10,2;13,56;CFQ7TTC0LHQ3-000H-P1Y-Monthly-Education;CFQ7TTC0LHQ3-000H-P1Y-Monthly-Education
Dataverse File Capacity add-on (Non-Profit Pricing);CFQ7TTC0LHQ3;000G;P1Y;Annual;Charity;GBP;11,66;12,96;CFQ7TTC0LHQ3-000G-P1Y-Annual-Charity;CFQ7TTC0LHQ3-000G-P1Y-Annual-Charity
Dataverse File Capacity add-on (Education Pricing);CFQ7TTC0LHQ3;000H;P1M;Monthly;Education;GBP;0,97;1,3;CFQ7TTC0LHQ3-000H-P1M-Monthly-Education;CFQ7TTC0LHQ3-000H-P1M-Monthly-Education
Dataverse File Capacity add-on (Non-Profit Pricing);CFQ7TTC0LHQ3;000G;P1M;Monthly;Charity;GBP;1,17;1,3;CFQ7TTC0LHQ3-000G-P1M-Monthly-Charity;CFQ7TTC0LHQ3-000G-P1M-Monthly-Charity
Dataverse File Capacity add-on;CFQ7TTC0LHQ3;1;P1Y;Annual;Commercial;GBP;13,86;18,48;CFQ7TTC0LHQ3-1-P1Y-Annual-Commercial;CFQ7TTC0LHQ3-1-P1Y-Annual-Commercial
Dataverse File Capacity add-on (Non-Profit Pricing);CFQ7TTC0LHQ3;000G;P1Y;Monthly;Charity;GBP;12,24;13,56;CFQ7TTC0LHQ3-000G-P1Y-Monthly-Charity;CFQ7TTC0LHQ3-000G-P1Y-Monthly-Charity
Dataverse File Capacity add-on;CFQ7TTC0LHQ3;1;P1M;Monthly;Commercial;GBP;1,39;1,85;CFQ7TTC0LHQ3-1-P1M-Monthly-Commercial;CFQ7TTC0LHQ3-1-P1M-Monthly-Commercial
Dataverse Log Capacity add-on;CFQ7TTC0HBSL;1;P1M;Monthly;Commercial;GBP;6,93;9,24;CFQ7TTC0HBSL-1-P1M-Monthly-Commercial;CFQ7TTC0HBSL-1-P1M-Monthly-Commercial
Dataverse Log Capacity add-on (Education Pricing);CFQ7TTC0HBSL;000H;P1Y;Monthly;Education;GBP;51;68,04;CFQ7TTC0HBSL-000H-P1Y-Monthly-Education;CFQ7TTC0HBSL-000H-P1Y-Monthly-Education
Dataverse Log Capacity add-on (Non-Profit Pricing);CFQ7TTC0HBSL;000G;P1Y;Monthly;Charity;GBP;61,2;68,04;CFQ7TTC0HBSL-000G-P1Y-Monthly-Charity;CFQ7TTC0HBSL-000G-P1Y-Monthly-Charity
Dataverse Log Capacity add-on (Non-Profit Pricing);CFQ7TTC0HBSL;000G;P1Y;Annual;Charity;GBP;58,32;64,8;CFQ7TTC0HBSL-000G-P1Y-Annual-Charity;CFQ7TTC0HBSL-000G-P1Y-Annual-Charity
Dataverse Log Capacity add-on;CFQ7TTC0HBSL;1;P1Y;Annual;Commercial;GBP;69,3;92,4;CFQ7TTC0HBSL-1-P1Y-Annual-Commercial;CFQ7TTC0HBSL-1-P1Y-Annual-Commercial
Dataverse Log Capacity add-on (Non-Profit Pricing);CFQ7TTC0HBSL;000G;P1M;Monthly;Charity;GBP;5,83;6,48;CFQ7TTC0HBSL-000G-P1M-Monthly-Charity;CFQ7TTC0HBSL-000G-P1M-Monthly-Charity
Dataverse Log Capacity add-on;CFQ7TTC0HBSL;1;P1Y;Monthly;Commercial;GBP;72,72;97,08;CFQ7TTC0HBSL-1-P1Y-Monthly-Commercial;CFQ7TTC0HBSL-1-P1Y-Monthly-Commercial
Dataverse Log Capacity add-on (Education Pricing);CFQ7TTC0HBSL;000H;P1M;Monthly;Education;GBP;4,86;6,48;CFQ7TTC0HBSL-000H-P1M-Monthly-Education;CFQ7TTC0HBSL-000H-P1M-Monthly-Education
Dataverse Log Capacity add-on (Education Pricing);CFQ7TTC0HBSL;000H;P1Y;Annual;Education;GBP;48,6;64,8;CFQ7TTC0HBSL-000H-P1Y-Annual-Education;CFQ7TTC0HBSL-000H-P1Y-Annual-Education
Dynamics 365  Operations – Order Lines (Non-Profit Pricing);CFQ7TTC0LHXR;000G;P1Y;Annual;Charity;GBP;1037,88;1153,2;CFQ7TTC0LHXR-000G-P1Y-Annual-Charity;CFQ7TTC0LHXR-000G-P1Y-Annual-Charity
Dynamics 365 Operations – Order Lines;CFQ7TTC0LHXR;1;P1M;Monthly;Commercial;GBP;322,98;461,4;CFQ7TTC0LHXR-1-P1M-Monthly-Commercial;CFQ7TTC0LHXR-1-P1M-Monthly-Commercial
Dynamics 365  Operations – Order Lines (Non-Profit Pricing);CFQ7TTC0LHXR;000G;P1Y;Monthly;Charity;GBP;1089,72;1210,92;CFQ7TTC0LHXR-000G-P1Y-Monthly-Charity;CFQ7TTC0LHXR-000G-P1Y-Monthly-Charity
Dynamics 365  Operations-Order Lines (Education Pricing);CFQ7TTC0LHXR;000B;P1Y;Monthly;Education;GBP;2373,48;3390,72;CFQ7TTC0LHXR-000B-P1Y-Monthly-Education;CFQ7TTC0LHXR-000B-P1Y-Monthly-Education
Dynamics 365  Operations – Order Lines (Non-Profit Pricing);CFQ7TTC0LHXR;000G;P1M;Monthly;Charity;GBP;103,79;115,32;CFQ7TTC0LHXR-000G-P1M-Monthly-Charity;CFQ7TTC0LHXR-000G-P1M-Monthly-Charity
Dynamics 365  Operations-Order Lines (Education Pricing);CFQ7TTC0LHXR;000B;P1Y;Annual;Education;GBP;2260,44;3229,2;CFQ7TTC0LHXR-000B-P1Y-Annual-Education;CFQ7TTC0LHXR-000B-P1Y-Annual-Education
Dynamics 365  Operations-Order Lines (Education Pricing);CFQ7TTC0LHXR;000B;P1M;Monthly;Education;GBP;226,04;322,92;CFQ7TTC0LHXR-000B-P1M-Monthly-Education;CFQ7TTC0LHXR-000B-P1M-Monthly-Education
Dynamics 365 Operations – Order Lines;CFQ7TTC0LHXR;1;P1Y;Monthly;Commercial;GBP;3391,32;4844,76;CFQ7TTC0LHXR-1-P1Y-Monthly-Commercial;CFQ7TTC0LHXR-1-P1Y-Monthly-Commercial
Dynamics 365 Operations – Order Lines;CFQ7TTC0LHXR;1;P1Y;Annual;Commercial;GBP;3229,8;4614;CFQ7TTC0LHXR-1-P1Y-Annual-Commercial;CFQ7TTC0LHXR-1-P1Y-Annual-Commercial
Dynamics 365 Asset Management Addl Assets;CFQ7TTC0LHWJ;1;P3Y;Triennial;Commercial;GBP;1937,88;2768,4;CFQ7TTC0LHWJ-1-P3Y-Triennial-Commercial;CFQ7TTC0LHWJ-1-P3Y-Triennial-Commercial
Dynamics 365 Asset Management Addl Assets (Non-Profit Pricing);CFQ7TTC0LHWJ;000B;P1M;Monthly;Charity;GBP;58,1;64,56;CFQ7TTC0LHWJ-000B-P1M-Monthly-Charity;CFQ7TTC0LHWJ-000B-P1M-Monthly-Charity
Dynamics 365 Asset Management Addl Assets;CFQ7TTC0LHWJ;1;P1M;Monthly;Commercial;GBP;64,6;92,28;CFQ7TTC0LHWJ-1-P1M-Monthly-Commercial;CFQ7TTC0LHWJ-1-P1M-Monthly-Commercial
Dynamics 365 Asset Management Addl Assets (Education Faculty Pricing);CFQ7TTC0LHWJ;000C;P1Y;Annual;Education;GBP;451,92;645,6;CFQ7TTC0LHWJ-000C-P1Y-Annual-Education;CFQ7TTC0LHWJ-000C-P1Y-Annual-Education
Dynamics 365 Asset Management Addl Assets (Non-Profit Pricing);CFQ7TTC0LHWJ;000B;P1Y;Monthly;Charity;GBP;610,08;677,88;CFQ7TTC0LHWJ-000B-P1Y-Monthly-Charity;CFQ7TTC0LHWJ-000B-P1Y-Monthly-Charity
Dynamics 365 Asset Management Addl Assets;CFQ7TTC0LHWJ;1;P3Y;Monthly;Commercial;GBP;2034,72;2907;CFQ7TTC0LHWJ-1-P3Y-Monthly-Commercial;CFQ7TTC0LHWJ-1-P3Y-Monthly-Commercial
Dynamics 365 Asset Management Addl Assets;CFQ7TTC0LHWJ;1;P3Y;Annual;Commercial;GBP;1937,88;2768,4;CFQ7TTC0LHWJ-1-P3Y-Annual-Commercial;CFQ7TTC0LHWJ-1-P3Y-Annual-Commercial
Dynamics 365 Asset Management Addl Assets (Education Faculty Pricing);CFQ7TTC0LHWJ;000C;P1M;Monthly;Education;GBP;45,19;64,56;CFQ7TTC0LHWJ-000C-P1M-Monthly-Education;CFQ7TTC0LHWJ-000C-P1M-Monthly-Education
Dynamics 365 Asset Management Addl Assets;CFQ7TTC0LHWJ;1;P1Y;Annual;Commercial;GBP;645,96;922,8;CFQ7TTC0LHWJ-1-P1Y-Annual-Commercial;CFQ7TTC0LHWJ-1-P1Y-Annual-Commercial
Dynamics 365 Asset Management Addl Assets (Education Faculty Pricing);CFQ7TTC0LHWJ;000C;P1Y;Monthly;Education;GBP;474,48;677,88;CFQ7TTC0LHWJ-000C-P1Y-Monthly-Education;CFQ7TTC0LHWJ-000C-P1Y-Monthly-Education
