ProductTitle;ProductId;SkuId;BillingPlan;Currency;Tags;ERP;Segment
ESU for SQL 2014 Std Per Server for 1st year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";943.55;Commercial
ESU for SQL 2014 Std Per Server for 2nd year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";943.55;Commercial
ESU for SQL 2014 EE Per Server for 1st year EOS(Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";9048.22;Commercial
ESU for SQL 2014 Std 2 Core pack for 2nd year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Subscription";3776.88;Commercial
ESU for SQL 2014 EE Per Server for 3rd year EOS (Coverage July 15 2026 - July 14 2027);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";9048.22;Commercial
ESU for SQL 2014 EE 2 Core pack for 2nd year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Subscription";14478.77;Commercial
ESU for SQL 2014 EE Per Server for 2nd year EOS(Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Subscription";9048.22;Commercial
ESU for SQL 2014 EE 2 Core pack for 1st year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";14478.77;Commercial
Win Server DC Core Ext Security 2012 8 Core Y3 (October 2025-2026);DG7GMGF0HPVW;1;OneTime;GBP;"Software;Subscription";2946.91;Commercial
Win Server DC Core Ext Security 2012 2 Core Y2 (October 2024-2025);DG7GMGF0HPVW;8;OneTime;GBP;"Software;Perpetual";736.06;Commercial
Win Server DC Core Ext Security 2012 2 Core Y3 (October 2025-2026);DG7GMGF0HPVW;;OneTime;GBP;"Software;Subscription";736.06;Commercial
Win Server DC Core Ext Security 2012 8 Core Y2 (October 2024-2025);DG7GMGF0HPVW;7;OneTime;GBP;"Software;Perpetual";2946.91;Commercial
Win Server DC Core Ext Security 2012 2 Core Y1 (October 2023-2024);DG7GMGF0HPVW;9;OneTime;GBP;"Software;Perpetual";736.06;Commercial
Win Server DC Core Ext Security 2012 8 Core Y1 (October 2023-2024);DG7GMGF0HPVW;6;OneTime;GBP;"Software;Perpetual";2946.91;Commercial
Win Server Std Core Ext Security 2012 8 Core Y3 (October 2025-2026);DG7GMGF0HPVV;;OneTime;GBP;"Software;Subscription";510.68;Commercial
Win Server Std Core Ext Security 2012 2 Core Y2 (October 2024-2025);DG7GMGF0HPVV;6;OneTime;GBP;"Software;Perpetual";127.89;Commercial
Win Server Std Core Ext Security 2012 8 Core Y2 (October 2024-2025);DG7GMGF0HPVV;8;OneTime;GBP;"Software;Perpetual";510.68;Commercial
Win Server Std Core Ext Security 2012 8 Core Y1 (October 2023-2024);DG7GMGF0HPVV;1;OneTime;GBP;"Software;Perpetual";510.68;Commercial
Win Server Std Core Ext Security 2012 2 Core Y1 (October 2023-2024);DG7GMGF0HPVV;7;OneTime;GBP;"Software;Perpetual";127.89;Commercial
Win Server Std Core Ext Security 2012 2 Core Y3 (October 2025-2026);DG7GMGF0HPVV;9;OneTime;GBP;"Software;Subscription";127.89;Commercial
Office LTSC Professional Plus 2024;DG7GMGF0PN5F;2;OneTime;GBP;"Software;Perpetual";160.98;Charity
Office LTSC Professional Plus 2024;DG7GMGF0PN5F;2;OneTime;GBP;"Software;Perpetual";645.73;Commercial
Office LTSC Professional Plus 2024;DG7GMGF0PN5F;2;OneTime;GBP;"Software;Perpetual";87.65;Education
Office LTSC Standard 2024;DG7GMGF0PN5D;2;OneTime;GBP;"Software;Perpetual";473.12;Commercial
Office LTSC Standard 2024;DG7GMGF0PN5D;2;OneTime;GBP;"Software;Perpetual";118.06;Charity
Office LTSC Standard 2024;DG7GMGF0PN5D;2;OneTime;GBP;"Software;Perpetual";63.5;Education
Office LTSC Standard for Mac 2024;DG7GMGF0PN5C;1;OneTime;GBP;"Software;Perpetual";63.5;Education
Office LTSC Standard for Mac 2024;DG7GMGF0PN5C;1;OneTime;GBP;"Software;Perpetual";473.12;Commercial
Office LTSC Standard for Mac 2024;DG7GMGF0PN5C;1;OneTime;GBP;"Software;Perpetual";118.06;Charity
Outlook LTSC 2024;DG7GMGF0PN5V;1;OneTime;GBP;"Software;Perpetual";162.77;Commercial
Outlook LTSC 2024;DG7GMGF0PN5V;1;OneTime;GBP;"Software;Perpetual";21.46;Education
Outlook LTSC 2024;DG7GMGF0PN5V;1;OneTime;GBP;"Software;Perpetual";40.25;Charity
Outlook LTSC for Mac 2024;DG7GMGF0PN5W;1;OneTime;GBP;"Software;Perpetual";40.25;Charity
Outlook LTSC for Mac 2024;DG7GMGF0PN5W;1;OneTime;GBP;"Software;Perpetual";162.77;Commercial
Outlook LTSC for Mac 2024;DG7GMGF0PN5W;1;OneTime;GBP;"Software;Perpetual";21.46;Education
PowerPoint LTSC 2024;DG7GMGF0PN47;1;OneTime;GBP;"Software;Perpetual";40.25;Charity
PowerPoint LTSC 2024;DG7GMGF0PN47;1;OneTime;GBP;"Software;Perpetual";162.77;Commercial
PowerPoint LTSC 2024;DG7GMGF0PN47;1;OneTime;GBP;"Software;Perpetual";21.46;Education
PowerPoint LTSC for Mac 2024;DG7GMGF0PN46;2;OneTime;GBP;"Software;Perpetual";21.46;Education
PowerPoint LTSC for Mac 2024;DG7GMGF0PN46;2;OneTime;GBP;"Software;Perpetual";162.77;Commercial
PowerPoint LTSC for Mac 2024;DG7GMGF0PN46;2;OneTime;GBP;"Software;Perpetual";40.25;Charity
Project Professional 2024;DG7GMGF0PN45;1;OneTime;GBP;"Software;Perpetual";270.1;Charity
Project Professional 2024;DG7GMGF0PN45;1;OneTime;GBP;"Software;Perpetual";160.98;Education
Project Professional 2024;DG7GMGF0PN45;1;OneTime;GBP;"Software;Perpetual";1081.28;Commercial
Project Server 2019;DG7GMGF0F4MH;3;OneTime;GBP;"Software;Perpetual";2386.15;Charity
Project Server 2019;DG7GMGF0F4MH;3;OneTime;GBP;"Software;Perpetual";5966.26;Commercial
Project Server 2019;DG7GMGF0F4MH;3;OneTime;GBP;"Software;Perpetual";1490.9;Education
Project Server 2019 User CAL;DG7GMGF0F4LF;1;OneTime;GBP;"Software;Perpetual";71.55;Charity
Project Server 2019 Device CAL;DG7GMGF0F4LF;3;OneTime;GBP;"Software;Perpetual";177.98;Commercial
Project Server 2019 User CAL;DG7GMGF0F4LF;1;OneTime;GBP;"Software;Perpetual";43.82;Education
Project Server 2019 Device CAL;DG7GMGF0F4LF;3;OneTime;GBP;"Software;Perpetual";43.82;Education
Project Server 2019 User CAL;DG7GMGF0F4LF;1;OneTime;GBP;"Software;Perpetual";231.64;Commercial
Project Server 2019 Device CAL;DG7GMGF0F4LF;3;OneTime;GBP;"Software;Perpetual";70.65;Charity
Project Standard 2024;DG7GMGF0PN44;1;OneTime;GBP;"Software;Perpetual";97.49;Education
Project Standard 2024;DG7GMGF0PN44;1;OneTime;GBP;"Software;Perpetual";651.09;Commercial
Project Standard 2024;DG7GMGF0PN44;1;OneTime;GBP;"Software;Perpetual";260.26;Charity
SharePoint Enterprise 2019 User CAL;DG7GMGF0F4LV;2;OneTime;GBP;"Software;Perpetual";21.46;Education
SharePoint Enterprise 2019 Device CAL;DG7GMGF0F4LV;3;OneTime;GBP;"Software;Perpetual";21.46;Education
SharePoint Enterprise 2019 Device CAL;DG7GMGF0F4LV;3;OneTime;GBP;"Software;Perpetual";34.88;Charity
SharePoint Enterprise 2019 Device CAL;DG7GMGF0F4LV;3;OneTime;GBP;"Software;Perpetual";87.65;Commercial
SharePoint Enterprise 2019 User CAL;DG7GMGF0F4LV;2;OneTime;GBP;"Software;Perpetual";114.48;Commercial
SharePoint Enterprise 2019 User CAL;DG7GMGF0F4LV;2;OneTime;GBP;"Software;Perpetual";33.99;Charity
SharePoint Standard 2019 User CAL;DG7GMGF0F4LS;2;OneTime;GBP;"Software;Perpetual";25.04;Charity
SharePoint Standard 2019 Device CAL;DG7GMGF0F4LS;3;OneTime;GBP;"Software;Perpetual";25.04;Charity
SharePoint Standard 2019 Device CAL;DG7GMGF0F4LS;3;OneTime;GBP;"Software;Perpetual";101.06;Commercial
SharePoint Standard 2019 User CAL;DG7GMGF0F4LS;2;OneTime;GBP;"Software;Perpetual";25.04;Education
SharePoint Standard 2019 User CAL;DG7GMGF0F4LS;2;OneTime;GBP;"Software;Perpetual";128.79;Commercial
SharePoint Standard 2019 Device CAL;DG7GMGF0F4LS;3;OneTime;GBP;"Software;Perpetual";25.04;Education
Skype for Business Server Enterprise 2019 User CAL;DG7GMGF0F4LP;2;OneTime;GBP;"Software;Perpetual";147.57;Commercial
Skype for Business Server Enterprise 2019 User CAL;DG7GMGF0F4LP;2;OneTime;GBP;"Software;Perpetual";43.82;Charity
Skype for Business Server Enterprise 2019 Device CAL;DG7GMGF0F4LP;3;OneTime;GBP;"Software;Perpetual";28.62;Education
Skype for Business Server Enterprise 2019 Device CAL;DG7GMGF0F4LP;3;OneTime;GBP;"Software;Perpetual";114.48;Commercial
Skype for Business Server Enterprise 2019 Device CAL;DG7GMGF0F4LP;3;OneTime;GBP;"Software;Perpetual";45.61;Charity
Skype for Business Server Enterprise 2019 User CAL;DG7GMGF0F4LP;2;OneTime;GBP;"Software;Perpetual";27.73;Education
Skype for Business Server Plus 2019 User CAL;DG7GMGF0F4LN;2;OneTime;GBP;"Software;Perpetual";27.73;Charity
Skype for Business Server Plus 2019 User CAL;DG7GMGF0F4LN;2;OneTime;GBP;"Software;Perpetual";27.73;Education
Skype for Business Server Plus 2019 User CAL;DG7GMGF0F4LN;2;OneTime;GBP;"Software;Perpetual";147.57;Commercial
Skype for Business Server Plus 2019 Device CAL;DG7GMGF0F4LN;3;OneTime;GBP;"Software;Perpetual";114.48;Commercial
Skype for Business Server Plus 2019 Device CAL;DG7GMGF0F4LN;3;OneTime;GBP;"Software;Perpetual";28.62;Charity
Skype for Business Server Plus 2019 Device CAL;DG7GMGF0F4LN;3;OneTime;GBP;"Software;Perpetual";28.62;Education
Skype for Business Server Standard 2019 User CAL;DG7GMGF0F4K1;2;OneTime;GBP;"Software;Perpetual";8.05;Charity
Skype for Business Server Standard 2019 User CAL;DG7GMGF0F4K1;2;OneTime;GBP;"Software;Perpetual";8.05;Education
Skype for Business Server Standard 2019 Device CAL;DG7GMGF0F4K1;3;OneTime;GBP;"Software;Perpetual";8.05;Charity
Skype for Business Server Standard 2019 Device CAL;DG7GMGF0F4K1;3;OneTime;GBP;"Software;Perpetual";33.99;Commercial
Skype for Business Server Standard 2019 User CAL;DG7GMGF0F4K1;2;OneTime;GBP;"Software;Perpetual";43.82;Commercial
Skype for Business Server Standard 2019 Device CAL;DG7GMGF0F4K1;3;OneTime;GBP;"Software;Perpetual";8.05;Education
ESU for SQL 2016 EE Per Server Year 1 (July 15 2026 - July 14 2027);DG7GMGDZTC0F;2;OneTime;GBP;"Software;Perpetual";9048.22;Commercial
ESU for SQL 2016 EE Per Server Year 3 (July 15 2028 - July 14 2029);DG7GMGDZTC0F;8;OneTime;GBP;"Software;Perpetual";9048.22;Commercial
ESU for SQL 2016 Std Per Server Year 3 (July 15 2028 - July 14 2029);DG7GMGDZTC0F;9;OneTime;GBP;"Software;Perpetual";943.55;Commercial
ESU for SQL 2016 EE 2 Core pack Year 3 (July 15 2028 - July 14 2029);DG7GMGDZTC0F;4;OneTime;GBP;"Software;Perpetual";14478.77;Commercial
ESU for SQL 2016 Std Per Server Year 1 (July 15 2026 - July 14 2027);DG7GMGDZTC0F;6;OneTime;GBP;"Software;Perpetual";943.55;Commercial
ESU for SQL 2016 EE 2 Core pack Year 1 (July 15 2026 - July 14 2027);DG7GMGDZTC0F;;OneTime;GBP;"Software;Perpetual";14478.77;Commercial
ESU for SQL 2016 EE Per Server Year 2 (July 15 2027 - July 14 2028);DG7GMGDZTC0F;1;OneTime;GBP;"Software;Perpetual";9048.22;Commercial
ESU for SQL 2016 Std 2 Core pack Year 3 (July 15 2028 - July 14 2029);DG7GMGDZTC0F;5;OneTime;GBP;"Software;Perpetual";3776.88;Commercial
ESU for SQL 2016 Std 2 Core pack Year 2 (July 15 2027 - July 14 2028);DG7GMGDZTC0F;3;OneTime;GBP;"Software;Perpetual";3776.88;Commercial
ESU for SQL 2016 EE 2 Core pack Year 2 (July 15 2027 - July 14 2028);DG7GMGDZTC0F;7;OneTime;GBP;"Software;Perpetual";14478.77;Commercial
ESU for SQL 2016 Std 2 Core pack Year 1 (July 15 2026 - July 14 2027);DG7GMGDZTC0F;;OneTime;GBP;"Software;Perpetual";3776.88;Commercial
ESU for SQL 2016 Std Per Server Year 2 (July 15 2027 - July 14 2028);DG7GMGDZTC0F;;OneTime;GBP;"Software;Perpetual";943.55;Commercial
SQL Server 2025 - 1 Device CAL;DG7GMGF0VNHV;1;OneTime;GBP;"Software;Perpetual";54.56;Education
SQL Server 2025 - 1 Device CAL;DG7GMGF0VNHV;1;OneTime;GBP;"Software;Perpetual";220.01;Commercial
SQL Server 2025 - 1 User CAL;DG7GMGF0VNHV;2;OneTime;GBP;"Software;Perpetual";220.01;Commercial
SQL Server 2025 - 1 User CAL;DG7GMGF0VNHV;2;OneTime;GBP;"Software;Perpetual";87.65;Charity
SQL Server 2025 - 1 Device CAL;DG7GMGF0VNHV;1;OneTime;GBP;"Software;Perpetual";87.65;Charity
SQL Server 2025 - 1 User CAL;DG7GMGF0VNHV;2;OneTime;GBP;"Software;Perpetual";54.56;Education
SQL Server 2025 Enterprise - 2 core License Pack - 1 year;DG7GMGF0VNGX;2;Monthly;GBP;"Software;Subscription";6838.32;Commercial
SQL Server 2025 Enterprise - 2 core License Pack - 1 year;DG7GMGF0VNGX;2;Annual;GBP;"Software;Subscription";6838.26;Commercial
SQL Server 2025 Enterprise - 2 core License Pack - 3 year;DG7GMGF0VNGX;5;Triennial;GBP;"Software;Subscription";17169.89;Commercial
SQL Server 2025 Enterprise core - 2 core License Pack;DG7GMGF0VNGX;6;OneTime;GBP;"Software;Perpetual";14479.66;Commercial
SQL Server 2025 Enterprise core - 2 core License Pack;DG7GMGF0VNGX;6;OneTime;GBP;"Software;Perpetual";3619.47;Education
SQL Server 2025 Enterprise - 2 core License Pack - 3 year;DG7GMGF0VNGX;5;Annual;GBP;"Software;Subscription";17169.9;Commercial
SQL Server 2025 Enterprise core - 2 core License Pack;DG7GMGF0VNGX;6;OneTime;GBP;"Software;Perpetual";5791.86;Charity
SQL Server 2025 Standard - 2 core License Pack - 3 year;DG7GMGF0VNH2;6;Annual;GBP;"Software;Subscription";4479.84;Commercial
SQL Server 2025 Standard core - 2 core License Pack;DG7GMGF0VNH2;2;OneTime;GBP;"Software;Perpetual";1510.57;Charity
SQL Server 2025 Standard core - 2 core License Pack;DG7GMGF0VNH2;2;OneTime;GBP;"Software;Perpetual";943.55;Education
SQL Server 2025 Standard core - 2 core License Pack;DG7GMGF0VNH2;2;OneTime;GBP;"Software;Perpetual";3776.88;Commercial
SQL Server 2025 Standard - 2 core License Pack - 1 year;DG7GMGF0VNH2;3;Monthly;GBP;"Software;Subscription";1783.32;Commercial
SQL Server 2025 Standard - 2 core License Pack - 1 year;DG7GMGF0VNH2;3;Annual;GBP;"Software;Subscription";1783.35;Commercial
SQL Server 2025 Standard - 2 core License Pack - 3 year;DG7GMGF0VNH2;6;Triennial;GBP;"Software;Subscription";4479.84;Commercial
SQL Server 2025 Standard edition Perpetual 1 Server License;DG7GMGF0VNJS;2;OneTime;GBP;"Software;Perpetual";236.11;Education
SQL Server 2025 Standard edition Perpetual 1 Server License;DG7GMGF0VNJS;2;OneTime;GBP;"Software;Perpetual";945.34;Commercial
SQL Server 2025 Standard edition Perpetual 1 Server License;DG7GMGF0VNJS;2;OneTime;GBP;"Software;Perpetual";378.31;Charity
SQL Server Big Data Node Cores - 1 Year Subscription;DG7GMGF0FKZX;3;Annual;GBP;"Software;Subscription";357.74;Commercial
System Center 2025 Datacenter - 2 core License Pack 3 Year;DG7GMGF0PP48;3;Annual;GBP;"Software;Subscription";372.96;Commercial
System Center 2025 Datacenter - 2 core License Pack 3 Year;DG7GMGF0PP48;3;Triennial;GBP;"Software;Subscription";372.95;Commercial
System Center 2025 Datacenter - 2 Core License Pack 1 Year;DG7GMGF0PP48;1;Annual;GBP;"Software;Subscription";149.36;Commercial
System Center 2025 Datacenter - 2 Core License Pack 1 Year;DG7GMGF0PP48;1;Monthly;GBP;"Software;Subscription";149.4;Commercial
System Center 2025 Standard - 2 Core License Pack 1 Year;DG7GMGF0PP47;1;Annual;GBP;"Software;Subscription";54.56;Commercial
System Center 2025 Standard - 2 Core License Pack 1 Year;DG7GMGF0PP47;1;Monthly;GBP;"Software;Subscription";54.6;Commercial
System Center 2025 Standard - 2 Core License Pack 3 Year;DG7GMGF0PP47;3;Triennial;GBP;"Software;Subscription";136.84;Commercial
System Center 2025 Standard - 2 Core License Pack 3 Year;DG7GMGF0PP47;3;Annual;GBP;"Software;Subscription";136.83;Commercial
Visio LTSC Professional 2024;DG7GMGF0PN43;2;OneTime;GBP;"Software;Perpetual";221.8;Charity
Visio LTSC Professional 2024;DG7GMGF0PN43;2;OneTime;GBP;"Software;Perpetual";554.5;Commercial
Visio LTSC Professional 2024;DG7GMGF0PN43;2;OneTime;GBP;"Software;Perpetual";83.18;Education
Visio LTSC Standard 2024;DG7GMGF0PN42;2;OneTime;GBP;"Software;Perpetual";118.06;Charity
Visio LTSC Standard 2024;DG7GMGF0PN42;2;OneTime;GBP;"Software;Perpetual";43.82;Education
Visio LTSC Standard 2024;DG7GMGF0PN42;2;OneTime;GBP;"Software;Perpetual";296.03;Commercial
Visual Studio Professional 2026;DG7GMGF0VJ96;2;OneTime;GBP;"Software;Perpetual";477.59;Commercial
Visual Studio Professional 2026;DG7GMGF0VJ96;2;OneTime;GBP;"Software;Perpetual";190.5;Charity
Visual Studio Professional 2026;DG7GMGF0VJ96;2;OneTime;GBP;"Software;Perpetual";71.55;Education
Windows 10 Enterprise LTSB 2016 ESU Year 3 (2028 - 2029);DG7GMGDZT98X;1;OneTime;GBP;"Software;Perpetual";233.43;Commercial
Windows 10 Enterprise LTSB 2016 ESU Year 3 (2028 - 2029);DG7GMGDZT98X;1;OneTime;GBP;"Software;Perpetual";233.43;Charity
Windows 10 Enterprise LTSB 2016 ESU Year 1 (2026 - 2027);DG7GMGDZT98X;3;OneTime;GBP;"Software;Perpetual";58.13;Commercial
Windows 10 Enterprise LTSB 2016 ESU Year 2 (2027 - 2028);DG7GMGDZT98X;2;OneTime;GBP;"Software;Perpetual";116.27;Commercial
Windows 10 Enterprise LTSB 2016 ESU Year 1 (2026 - 2027);DG7GMGDZT98X;3;OneTime;GBP;"Software;Perpetual";58.13;Charity
Windows 10 Enterprise LTSB 2016 ESU Year 2 (2027 - 2028);DG7GMGDZT98X;2;OneTime;GBP;"Software;Perpetual";116.27;Charity
Windows 10 Enterprise LTSC 2021 Upgrade;DG7GMGF0D19L;1;OneTime;GBP;"Software;Perpetual";69.76;Charity
Windows 10 Enterprise LTSC 2021 Upgrade;DG7GMGF0D19L;1;OneTime;GBP;"Software;Perpetual";281.72;Commercial
Windows 10 Enterprise N LTSC 2021 Upgrade;DG7GMGF0D19M;1;OneTime;GBP;"Software;Perpetual";281.72;Commercial
Windows 10 Enterprise N LTSC 2021 Upgrade;DG7GMGF0D19M;1;OneTime;GBP;"Software;Perpetual";69.76;Charity
Windows 10 ESU Year 1 (2025 - 2026);DG7GMGF0SSGZ;4;OneTime;GBP;"Software;Perpetual";58.13;Commercial
Windows 10 ESU Year 1 (2025 - 2026);DG7GMGF0SSGZ;3;OneTime;GBP;"Software;Perpetual";0.89;Education
Windows 10 ESU Year 2 (2026 - 2027);DG7GMGF0SSGZ;1;OneTime;GBP;"Software;Perpetual";116.27;Commercial
Windows 10 ESU Year 2 (2026 - 2027);DG7GMGF0SSGZ;5;OneTime;GBP;"Software;Perpetual";1.79;Charity
Windows 10 ESU Year 3 (2027 - 2028);DG7GMGF0SSGZ;2;OneTime;GBP;"Software;Perpetual";233.43;Commercial
Windows 10 ESU Year 3 (2027 - 2028);DG7GMGF0SSGZ;6;OneTime;GBP;"Software;Perpetual";3.58;Education
Windows 10 ESU Year 1 (2025 - 2026);DG7GMGF0SSGZ;3;OneTime;GBP;"Software;Perpetual";0.89;Charity
Windows 10 ESU Year 2 (2026 - 2027);DG7GMGF0SSGZ;5;OneTime;GBP;"Software;Perpetual";1.79;Education
Windows 10 ESU Year 3 (2027 - 2028);DG7GMGF0SSGZ;6;OneTime;GBP;"Software;Perpetual";3.58;Charity
Windows 10 IoT Enterprise LTSC 2021;DG7GMGF0H3RD;2;OneTime;GBP;"Software;Perpetual";281.72;Commercial
Windows 11 Enterprise LTSC 2024 Upgrade;DG7GMGF0PP46;2;OneTime;GBP;"Software;Perpetual";69.76;Charity
Windows 11 Enterprise LTSC 2024 Upgrade;DG7GMGF0PP46;2;OneTime;GBP;"Software;Perpetual";281.72;Commercial
Windows 11 Enterprise N LTSC 2024 Upgrade;DG7GMGF0PP45;2;OneTime;GBP;"Software;Perpetual";69.76;Charity
Windows 11 Enterprise N LTSC 2024 Upgrade;DG7GMGF0PP45;2;OneTime;GBP;"Software;Perpetual";281.72;Commercial
Windows GGWA - Windows 11 Pro N - Legalization Get Genuine;DG7GMGF0L4TL;1;OneTime;GBP;"Software;Perpetual";179.77;Commercial
Windows GGWA - Windows 11 Pro - Legalization Get Genuine;DG7GMGF0L4TL;3;OneTime;GBP;"Software;Perpetual";179.77;Commercial
Windows GGWA - Windows 11 Home (Edu) - Legalization Get Genuine;DG7GMGF0L4TL;4;OneTime;GBP;"Software;Perpetual";131.47;Education
Windows 11 IoT Enterprise LTSC 2024;DG7GMGF0PP49;1;OneTime;GBP;"Software;Perpetual";281.72;Commercial
Windows 11 Pro Upgrade;DG7GMGF0D8H4;4;OneTime;GBP;"Software;Perpetual";178.87;Commercial
Windows 11 Pro;DG7GMGF0D8H4;3;OneTime;GBP;"Software;Perpetual";47.4;Charity
Windows 11 Pro Upgrade;DG7GMGF0D8H4;4;OneTime;GBP;"Software;Perpetual";62.61;Education
Windows 11 Home to Pro Upgrade for Microsoft 365 Business;DG7GMGF0D8H4;2;OneTime;GBP;"Software;Perpetual";46.51;Commercial
